k,prev_fname,curr_fname,prev_time_ms,curr_time_ms,dt_ms,dt_s,N_matches,des_cx,des_cy,des_perim,des_r23_14,des_rot,des_r12_34,cur_cx,cur_cy,cur_perim,cur_r23_14,cur_rot,cur_r12_34,e_cx,e_cy,e_perim,e_r23_14,e_rot_wrapped,e_r12_34,edot_cx,edot_cy,edot_perim,edot_r23_14,edot_rot,edot_r12_34,edot_cx_smooth,edot_cy_smooth,edot_perim_smooth,edot_r23_14_smooth,edot_rot_smooth,edot_r12_34_smooth
1,img_1.png,img_2.png,0,200,200,0.2,3610,0.5294771194458008,0.5818528532981873,1.7536216974258423,0.8698170185089111,0.01456495188176632,0.9824914932250977,0.5220321416854858,0.6029551029205322,1.73199462890625,0.8635889887809753,0.026618359610438347,0.9806955456733704,-0.007444977760314941,0.02110224962234497,-0.021627068519592285,-0.006228029727935791,0.012053407728672028,-0.001795947551727295,-0.03722488880157471,0.10551124811172485,-0.10813534259796143,-0.031140148639678955,0.06026703864336014,-0.008979737758636475,-0.03722444518114567,0.10547956977495881,-0.10820493588698352,-0.031202373766487344,0.06022875388363742,-0.00896952043654138
2,img_2.png,img_3.png,200,400,200,0.2,3766,0.5200759768486023,0.6184014678001404,1.800981044769287,0.9751514792442322,-0.004903809633105993,1.1271811723709106,0.5392390489578247,0.6174689531326294,1.7799124717712402,0.969391405582428,-0.02862069569528103,1.1293867826461792,0.019163072109222412,-0.0009325146675109863,-0.021068572998046875,-0.005760073661804199,-0.023716885596513748,0.0022056102752685547,0.09581536054611206,-0.004662573337554932,-0.10534286499023438,-0.028800368309020996,-0.11858442425727844,0.011028051376342773,-0.007766774330744488,-0.0050507852050083145,-0.058924186987982435,-0.0375156380044552,-0.11280895447925134,0.007627028863385944
3,img_3.png,img_4.png,400,600,200,0.2,3970,0.5227802395820618,0.6073300242424011,1.7223126888275146,0.924148678779602,-0.00957371387630701,0.9748675227165222,0.5090630650520325,0.5828970074653625,1.7254528999328613,0.9155601263046265,-0.06912641227245331,0.9776188135147095,-0.013717174530029297,-0.024433016777038574,0.0031402111053466797,-0.008588552474975586,-0.05955269932746887,0.002751290798187256,-0.06858587265014648,-0.12216508388519287,0.0157010555267334,-0.04294276237487793,-0.29776349663734436,0.01375645399093628,0.0004117705764200971,-0.06068579105128295,-0.010722981769881287,-0.018763567467410567,-0.12208625548074524,0.01953607929435113
4,img_4.png,img_5.png,600,801,201,0.201,4688,0.5294288396835327,0.5845586657524109,1.7772952318191528,0.991070568561554,-0.036091431975364685,1.0260710716247559,0.523717999458313,0.5920368432998657,1.789122223854065,0.9894819259643555,-0.0025566131807863712,1.0292556285858154,-0.0057108402252197266,0.007478177547454834,0.01182699203491211,-0.0015886425971984863,0.03353481739759445,0.0031845569610595703,-0.028412139043211937,0.037204861640930176,0.05884075537323952,-0.007903694175183773,0.16683988273143768,0.01584356650710106,-0.0026207026397704336,-0.05315487932134076,0.02519381666220753,0.016003744722849683,0.009958694639574061,0.021296214945255475
5,img_5.png,img_6.png,801,1000,199,0.199,4261,0.5563321113586426,0.5791598558425903,1.7937830686569214,0.9621087312698364,-0.01726345904171467,0.9624887704849243,0.5673732161521912,0.5659716129302979,1.7868187427520752,0.984622597694397,0.01458085235208273,0.9705117344856262,0.011041104793548584,-0.01318824291229248,-0.006964325904846191,0.022513866424560547,0.03184431046247482,0.008022964000701904,0.05548293888568878,-0.06627257913351059,-0.03499661386013031,0.11313501000404358,0.16002166271209717,0.04031640291213989,1.5089864564045173e-05,-0.013763097318231068,0.040379389054759886,0.030697966724307572,0.11763108060279154,0.011698068933766518
6,img_6.png,img_7.png,1000,1200,200,0.2,5022,0.5449845194816589,0.5671224594116211,1.79695463180542,0.9591135382652283,-0.0023398222401738167,1.0069555044174194,0.5429562330245972,0.5709798336029053,1.821698784828186,0.9517993330955505,0.0008715754374861717,1.0014352798461914,-0.0020282864570617676,0.0038573741912841797,0.024744153022766113,-0.007314205169677734,0.0032113976776599884,-0.005520224571228027,-0.010141432285308838,0.0192868709564209,0.12372076511383057,-0.03657102584838867,0.016056988388299942,-0.027601122856140137,0.007598118049657054,0.020875060818788076,0.03957132673706446,0.008948566339935618,0.09097931072385743,-0.00044729899697040516
7,img_7.png,img_8.png,1200,1400,200,0.2,4847,0.536593496799469,0.5517570972442627,1.7780108451843262,0.9076437950134277,-0.028592657297849655,0.9665389657020569,0.532001793384552,0.5605696439743042,1.772341012954712,0.8999541401863098,-0.028013672679662704,0.9654809236526489,-0.004591703414916992,0.008812546730041504,-0.005669832229614258,-0.00768965482711792,0.0005789846181869507,-0.001058042049407959,-0.02295851707458496,0.04406273365020752,-0.02834916114807129,-0.0384482741355896,0.0028949230909347534,-0.005290210247039795,0.01258797096283398,0.02738209586864371,0.03634840094101291,-0.022533502246570428,-0.025617787484601497,-0.003689321956640999
8,img_8.png,img_9.png,1400,1600,200,0.2,4150,0.514757513999939,0.5936626195907593,1.7781587839126587,0.9349852800369263,0.011877881363034248,1.055715799331665,0.5306742191314697,0.6025991439819336,1.7959208488464355,0.9338858723640442,-0.007531487848609686,1.0578968524932861,0.01591670513153076,0.008936524391174316,0.017762064933776855,-0.00109940767288208,-0.01940936967730522,0.0021810531616210938,0.07958352565765381,0.04468262195587158,0.08881032466888428,-0.0054970383644104,-0.09704684466123581,0.010905265808105469,0.011252782359676222,0.006662666837981778,0.04475396836827615,-0.02932505158360122,-0.1118391414783385,0.0009879305328688221
9,img_9.png,img_10.png,1600,1803,203,0.203,4854,0.5445547103881836,0.5853408575057983,1.7950215339660645,0.9690936207771301,-0.009139293804764748,0.9959315657615662,0.5322775840759277,0.5667946338653564,1.7986875772476196,0.9614233374595642,-0.05036301165819168,0.9967997074127197,-0.01227712631225586,-0.018546223640441895,0.0036660432815551758,-0.007670283317565918,-0.04122371971607208,0.0008681416511535645,-0.06047845631837845,-0.09136071056127548,0.018059326335787773,-0.037784647196531296,-0.20307251811027527,0.00427656015381217,0.004727629813407559,-0.014241551773784302,0.06718257565094227,-0.00977504575843513,-0.09571611105338766,0.0019262906857977326
10,img_10.png,img_11.png,1803,2000,197,0.197,5447,0.5146250128746033,0.5569385886192322,1.7659317255020142,0.9488697052001953,0.0008772006840445101,1.0122500658035278,0.5228713154792786,0.5600003004074097,1.7908594608306885,0.9567265510559082,0.01930709183216095,1.0119502544403076,0.008246302604675293,0.0030617117881774902,0.024927735328674316,0.00785684585571289,0.018429890275001526,-0.00029981136322021484,0.041859403252601624,0.015541684813797474,0.12653672695159912,0.039882466197013855,0.09355274587869644,-0.0015218851622194052,-0.0008761801163394676,-0.012806337229497018,0.08915463935899007,0.010320387463456444,-0.01013237371007905,-0.005876942198737971
